Number of Clusters,Point Index,PCA1,PCA2,PCA3,Cluster
2,0,0.2907198432522661,0.23557230273082225,-0.28379363638540284,0
2,1,0.2907198432522661,0.23557230273082225,-0.28379363638540284,0
2,2,0.4493234517907018,0.1158174647394997,-0.22702545206597108,0
2,3,0.4493234517907018,0.1158174647394997,-0.22702545206597108,0
2,4,-1.0838927304486046,0.12257804248302527,0.44376572192101355,1
2,5,-0.6878645031204057,-0.3571850591560565,-0.3747891810765016,1
2,6,-0.7393099737033982,-0.3252840157772895,0.6119397084765641,1
2,7,-0.7473806483495018,-0.29005078983225707,0.7465263311029713,1
2,8,-0.799798540234978,-0.2802078197516375,0.6428313709303614,1
2,9,-0.8116235244104952,-0.25804478850885126,0.6647309028757223,1
2,10,-0.6933361910219313,-0.3061825513199558,-0.2646323633440344,1
2,11,-0.8240883961264214,-0.22850179186634567,-0.48957411819233154,1
2,12,-0.7287604269646736,-0.30083314809798445,-0.4418594840168587,1
2,13,-0.8625409792988881,-0.16528082131888194,-0.5424728672254417,1
2,14,-0.7296622461224527,-0.29108820322859214,-0.46151339585390794,1
2,15,-0.5890680392734476,-0.36067148928072323,-0.41495985084002407,1
2,16,-0.4910284940194669,-0.45425260446643445,-0.35275008541000796,1
2,17,-0.8381842476201781,-0.16468104155246813,0.40998122632871964,1
2,18,-0.6354852171640725,-0.3250342578360325,-0.25037851412286766,1
2,19,-0.5619828826038119,-0.14537671786990936,0.6400819094320787,1
2,20,-0.8805857970721257,-0.02920167403027617,0.6855941992387489,1
2,21,-1.1723287276994188,0.15938030161679329,0.31705588812830404,1
2,22,-0.7454787175803325,-0.07234885268176255,-0.4627942729587545,1
2,23,-0.48728250664021205,-0.27842552502226564,-0.36608463179730866,1
2,24,-0.8206135579111326,-0.034732998477032644,0.3900059513081131,1
2,25,-0.7788760692704118,-0.05752377918840446,-0.3585710560183554,1
2,26,-0.9163437776880803,-0.02393343494496746,0.6054146819676199,1
2,27,-0.6731286695970697,-0.1415459182411602,-0.32982060014688147,1
2,28,-1.2232855971232113,0.2199967598789616,0.36893183288736686,1
2,29,-1.1563497318144211,0.14505638918226577,0.5942317515638712,1
2,30,-0.8127066889406284,-0.05077784853024612,0.4814601906590437,1
2,31,-0.8971048702123369,-0.06151543475796762,-0.5020319865162509,1
2,32,-0.719961615173484,-0.10628303808228026,-0.3256231764342678,1
2,33,-0.9781101206466178,0.002689640865963415,0.535819785401344,1
2,34,-0.7627841258963276,-0.09587540568499708,0.6663746921626778,1
2,35,-1.2822613230535502,0.2510622085265566,0.3482425785876939,1
2,36,-1.0933180898611792,0.10314590861547775,-0.541133627967564,1
2,37,-0.9133482378549398,0.005294327116801886,-0.46630524331268886,1
2,38,-0.694106847801184,-0.0984820067903312,-0.4929655367811307,1
2,39,-0.946443129295397,0.01883613018678156,-0.33992326276575846,1
2,40,-0.7941863451235989,-0.08552712024564091,0.49865937204581395,1
2,41,-0.8609151602295629,-0.016675772843610704,0.6416875536181978,1
2,42,-0.9280739682668676,0.018533672728933765,-0.509182323805256,1
2,43,-0.8514429880782822,-0.06471674557249174,0.7298898256434458,1
2,44,-1.0800544544874002,0.09345135553632163,0.6190721741696206,1
2,45,-1.2019108398251457,0.167545365023331,0.556671375632789,1
2,46,-0.9844077817516006,0.06268529972033038,-0.5437851417369501,1
2,47,-0.8378760665969772,-0.043813933774610674,-0.4984418504307128,1
